number,alacrity,ability,observation,logical,result
1151,92,83,75,89,7
1152,62,72,68,74,10
1153,72,67,91,82,1
1154,66,63,72,63,4
1155,68,92,74,95,10
1156,65,88,81,67,5
1157,81,86,96,100,2
1158,81,65,66,88,8
1159,65,93,93,80,5
1160,95,63,86,73,3
1161,85,90,67,62,12
1162,62,64,65,63,6
1163,87,69,84,78,3
1164,87,76,65,70,11
1165,92,64,65,80,7
1166,70,70,90,100,2
1167,87,82,66,83,7
1168,83,62,78,90,8
1169,90,72,68,60,11
1170,63,76,90,84,1
1171,72,85,86,88,2
1172,69,68,76,73,1
1173,76,73,75,70,3
1174,77,98,88,73,5
1175,100,85,91,100,7
1176,79,73,66,85,8
1177,93,63,79,78,3
1178,82,92,68,75,12
1179,91,81,84,60,3
1180,77,60,60,71,7
1181,100,75,88,62,3
1182,96,78,88,65,3
1183,67,85,60,97,10
1184,79,61,100,77,4
1185,76,94,87,75,5
1186,86,74,96,91,1
1187,79,84,64,87,10
1188,82,98,97,62,5
1189,79,89,84,60,5
1190,85,65,91,92,2
1191,97,72,81,72,3
1192,99,100,81,66,12
1193,66,84,79,73,5
1194,94,99,62,71,12
1195,79,86,82,90,10
1196,98,81,65,97,7
1197,92,90,100,90,4
1198,76,82,73,92,10
1199,92,88,95,83,4
1200,91,74,80,62,3
1201,70,85,78,69,5
1202,93,60,98,100,2
1203,73,63,71,70,3
1204,95,62,64,89,7
1205,61,89,74,96,10
1206,90,98,99,86,6
1207,94,77,69,71,11
1208,100,75,75,89,7
1209,88,63,88,68,3
1210,69,63,94,78,1
1211,63,98,72,64,5
1212,60,84,63,96,10
1213,94,89,80,80,11
1214,80,71,90,71,4
1215,61,100,91,62,5
1216,99,91,61,80,11
1217,100,68,98,66,3
1218,81,78,71,62,11
1219,87,77,91,81,4
1220,83,78,69,87,8
1221,88,94,68,70,12
1222,69,63,80,70,1
1223,77,91,60,92,10
1224,88,89,67,73,12
1225,95,95,61,62,11
1226,71,91,76,84,9
1227,72,68,81,98,2
1228,62,66,85,64,6
1229,68,88,86,86,5
1230,100,99,90,73,11
1231,63,60,71,73,2
1232,98,76,77,80,7
1233,82,69,85,73,4
1234,83,74,67,60,11
1235,87,94,88,81,5
1236,83,84,94,89,1
1237,99,81,96,83,3
1238,88,75,82,77,3
1239,86,95,93,72,5
1240,68,86,96,67,6
1241,85,62,91,98,2
1242,62,95,62,63,9
1243,69,87,62,95,10
1244,99,70,74,87,7
1245,76,82,70,97,10
1246,74,66,88,98,2
1247,71,62,68,73,8
1248,62,94,86,95,10
1249,85,64,97,82,4
1250,67,96,87,61,5
1251,98,79,99,97,4
1252,79,88,83,95,10
1253,99,77,98,79,3
1254,75,68,79,60,4
1255,66,86,97,75,6
1256,83,81,89,64,4
1257,97,81,61,62,11
1258,89,67,65,83,7
1259,84,77,70,78,7
1260,96,86,91,89,3
1261,95,97,95,81,12
1262,78,72,64,63,11
1263,67,60,73,88,2
1264,69,73,80,92,2
1265,68,83,95,70,6
1266,89,95,68,70,12
1267,86,77,70,83,7
1268,71,90,88,100,10
1269,96,79,72,85,7
1270,74,84,95,60,6
1271,75,73,86,95,2
1272,67,62,72,74,2
1273,88,98,62,97,9
1274,62,81,83,67,6
1275,89,85,72,78,11
1276,99,77,84,85,7
1277,81,62,85,92,2
1278,95,84,77,67,11
1279,100,76,94,86,3
1280,62,72,60,100,10
1281,93,84,72,69,11
1282,71,76,85,79,1
1283,74,70,91,83,1
1284,68,88,77,89,10
1285,97,89,60,69,11
1286,71,91,99,75,6
1287,67,77,86,90,2
1288,69,84,87,95,2
1289,76,69,85,98,2
1290,61,94,79,83,9
1291,74,81,62,98,10
1292,75,85,92,72,6
1293,87,76,97,91,1
1294,82,100,89,99,9
1295,73,68,77,68,4
1296,62,94,88,74,5
1297,96,74,79,88,7
1298,90,96,64,94,9
1299,96,98,71,90,12
1300,64,91,68,85,9
1301,88,64,75,100,8
1302,81,91,82,95,10
1303,93,96,99,78,6
1304,79,67,79,75,3
1305,74,86,78,66,5
1306,78,100,81,85,9
1307,95,82,94,77,3
1308,99,97,71,94,11
1309,87,94,75,83,12
1310,75,90,78,93,10
1311,83,97,82,88,9
1312,98,78,91,94,7
1313,88,68,73,66,3
1314,61,76,79,62,6
1315,70,76,66,75,9
1316,78,63,73,60,3
1317,70,89,93,92,1
1318,86,97,61,76,12
1319,61,93,89,70,5
1320,84,82,64,62,11
1321,74,67,79,67,4
1322,85,91,81,99,10
1323,89,60,84,82,3
1324,93,89,77,76,11
1325,62,100,83,67,5
1326,61,81,91,92,2
1327,92,71,97,85,4
1328,97,89,71,82,11
1329,96,96,85,91,11
1330,69,90,70,80,9
1331,91,80,96,97,2
1332,89,83,100,99,1
1333,74,72,92,80,1
1334,65,94,79,77,5
1335,94,89,85,83,11
1336,96,95,80,62,11
1337,64,83,82,96,10
1338,96,61,94,86,3
1339,74,76,89,71,6
1340,100,61,95,66,3
1341,70,91,76,61,5
1342,87,80,91,62,4
1343,79,67,94,93,1
1344,93,98,89,92,12
1345,83,94,74,73,12
1346,88,62,74,62,3
1347,67,72,60,78,10
1348,65,80,70,85,10
1349,91,96,62,71,12
1350,74,62,99,98,1
1351,70,95,99,61,6
1352,71,64,66,90,8
1353,97,69,82,72,3
1354,68,77,60,66,12
1355,83,86,76,72,12
1356,67,70,91,91,1
1357,84,92,87,67,5
1358,76,89,80,76,5
1359,74,66,77,78,2
1360,97,72,97,93,3
1361,99,93,77,63,11
1362,76,75,91,70,4
1363,79,75,75,69,11
1364,80,81,63,79,12
1365,93,84,84,97,8
1366,87,97,91,90,5
1367,94,86,76,90,7
1368,71,97,83,75,5
1369,84,97,80,77,12
1370,68,98,100,100,1
1371,95,90,65,72,11
1372,60,72,77,73,1
1373,95,90,68,67,11
1374,84,94,100,61,6
1375,62,76,94,67,6
1376,91,96,60,78,12
1377,94,82,72,84,7
1378,91,67,90,90,3
1379,90,87,96,62,4
1380,65,72,65,63,12
1381,73,66,69,61,3
1382,92,87,76,60,11
1383,61,100,61,67,9
1384,84,77,61,94,8
1385,65,97,83,61,5
1386,98,64,86,84,3
1387,72,81,68,98,10
1388,88,67,68,79,7
1389,91,72,60,87,7
1390,72,83,70,80,9
1391,80,84,77,71,12
1392,63,69,86,89,2
1393,74,72,76,95,2
1394,73,64,85,79,1
1395,62,66,92,61,6
1396,60,65,75,83,2
1397,83,96,80,82,12
1398,68,60,82,91,2
1399,100,66,76,71,3
1400,85,95,88,93,9
1401,86,79,80,79,3
1402,69,78,71,76,9
1403,72,80,90,100,2
1404,76,80,92,87,1
1405,65,70,72,65,6
1406,96,91,91,94,7
1407,85,99,94,61,5
1408,92,91,78,99,8
1409,98,83,90,90,3
1410,83,88,64,72,12
1411,71,82,81,77,5
1412,92,73,93,77,4
1413,77,99,84,97,9
1414,79,79,76,75,11
1415,99,69,64,87,7
1416,80,84,89,77,6
1417,68,88,98,73,6
1418,80,64,76,69,3
1419,79,70,72,96,8
1420,89,69,65,69,11
1421,67,72,73,100,2
1422,67,82,77,69,5
1423,93,72,77,92,7
1424,78,71,68,74,7
1425,89,79,90,86,4
1426,87,82,71,89,8
1427,74,88,90,84,6
1428,66,95,88,77,5
1429,60,69,88,100,2
1430,61,98,97,72,5
1431,85,100,84,87,9
1432,88,61,80,60,3
1433,85,83,66,99,8
1434,66,80,60,85,10
1435,81,100,73,90,9
1436,73,90,63,63,12
1437,99,70,94,93,3
1438,68,86,78,87,10
1439,84,96,92,90,5
1440,69,85,70,86,10
1441,63,67,61,77,10
1442,73,95,88,66,5
1443,69,86,74,67,5
1444,81,70,63,84,8
1445,84,81,73,81,11
1446,70,99,76,85,9
1447,88,94,88,88,12
1448,94,65,76,63,3
1449,86,96,99,68,6
1450,73,61,60,89,8
1451,62,75,94,80,1
1452,77,98,94,79,5
1453,93,86,95,67,4
1454,83,69,78,88,8
1455,86,83,65,97,8
1456,88,67,100,82,4
1457,61,60,84,67,1
1458,78,85,96,95,1
1459,82,63,97,81,4
1460,77,94,80,89,9
1461,78,71,97,100,2
1462,92,88,81,88,11
1463,91,87,68,87,11
1464,87,100,81,61,12
1465,69,98,76,61,5
1466,71,71,71,61,11
1467,93,81,75,78,11
1468,89,93,68,80,12
1469,99,98,78,73,11
1470,86,63,79,94,8
1471,64,81,87,85,1
1472,62,87,97,86,6
1473,98,76,72,69,11
1474,60,74,97,83,1
1475,76,68,78,89,2
1476,73,93,83,84,9
1477,71,80,65,82,10
1478,87,96,61,69,12
1479,97,90,73,99,8
1480,97,76,69,62,11
1481,74,88,95,73,6
1482,67,86,83,73,5
1483,85,72,75,62,3
1484,85,67,73,81,7
1485,81,89,88,97,10
1486,64,84,73,90,10
1487,100,96,92,90,11
1488,62,87,68,82,9
1489,64,95,98,77,6
1490,95,90,76,86,11
1491,74,96,75,82,9
1492,98,91,95,60,3
1493,79,96,60,86,9
1494,94,62,87,72,3
1495,68,88,60,98,10
1496,91,60,98,82,4
1497,74,92,88,96,10
1498,72,72,83,78,1
1499,91,68,100,91,4
1500,68,78,79,66,6
1501,85,73,67,63,11
1502,63,76,69,72,9
1503,92,65,95,77,4
1504,94,69,72,73,7
1505,81,68,66,82,8
1506,61,87,86,68,5
1507,95,99,87,87,12
1508,63,63,65,73,2
1509,93,98,78,79,12
1510,98,68,86,60,3
1511,82,76,70,63,11
1512,79,91,66,68,12
1513,69,79,100,62,6
1514,76,61,68,84,8
1515,67,96,82,78,5
1516,83,66,84,70,4
1517,61,75,77,74,6
1518,69,99,81,78,5
1519,93,70,71,99,8
1520,80,82,68,89,10
1521,100,69,84,79,3
1522,95,95,74,70,11
1523,75,81,77,68,5
1524,70,86,62,69,12
1525,64,92,93,80,6
1526,87,98,73,82,12
1527,66,95,73,74,9
1528,97,73,61,84,7
1529,66,67,60,93,10
1530,75,88,73,72,12
1531,90,93,95,81,6
1532,78,61,63,87,8
1533,95,76,93,89,3
1534,66,79,78,61,5
1535,98,96,66,74,11
1536,96,84,83,61,11
1537,73,66,71,88,8
1538,64,90,77,72,5
1539,92,80,68,84,7
1540,76,73,90,97,2
1541,77,74,78,71,4
1542,91,99,84,88,12
1543,99,86,73,79,11
1544,85,94,77,81,12
1545,77,97,83,99,10
1546,72,62,74,82,2
1547,84,80,100,67,4
1548,67,80,70,80,9
1549,78,91,85,81,5
1550,65,88,94,80,6
1551,66,85,67,64,5
1552,75,81,96,84,1
1553,63,63,81,94,2
1554,88,70,92,78,4
1555,82,89,96,70,6
1556,84,63,82,81,3
1557,89,91,74,94,10
1558,74,66,66,92,8
1559,80,93,72,72,12
1560,100,91,93,75,3
1561,96,61,76,69,3
1562,65,71,63,87,10
1563,62,71,84,84,1
1564,71,79,92,74,6
1565,88,97,72,83,12
1566,60,87,99,66,6
1567,75,95,88,64,5
1568,72,88,81,83,9
1569,64,74,69,89,10
1570,90,80,95,79,4
1571,81,77,94,85,1
1572,91,77,72,62,11
1573,82,86,61,96,10
1574,75,77,90,79,1
1575,61,71,63,63,5
1576,84,90,78,77,12
1577,78,85,75,86,10
1578,71,83,100,87,1
1579,92,82,96,63,4
1580,60,64,79,94,2
1581,92,91,78,74,11
1582,65,76,78,70,6
1583,73,66,81,90,2
1584,75,62,85,88,2
1585,92,97,86,97,9
1586,77,91,83,85,9
1587,69,90,63,70,9
1588,86,70,66,78,7
1589,77,73,96,66,4
1590,75,68,79,93,2
1591,66,60,67,80,2
1592,86,100,98,62,5
1593,90,75,85,99,8
1594,94,89,94,99,8
1595,84,76,62,78,7
1596,89,83,83,96,8
1597,61,64,94,76,1
1598,80,96,87,84,5
1599,72,87,93,89,1
1600,60,94,74,87,9
1601,66,96,69,63,5
1602,64,66,88,65,6
1603,98,70,89,94,7
1604,91,91,89,90,11
1605,66,85,84,63,5
1606,74,88,81,70,5
1607,72,75,76,80,2
1608,98,60,89,77,3
1609,68,98,60,82,9
1610,89,74,97,69,4
1611,90,61,76,81,7
1612,73,95,93,65,5
1613,62,79,70,78,9
1614,80,76,64,100,8
1615,67,99,69,84,9
1616,98,99,100,91,6
1617,78,62,73,85,8
1618,73,62,75,88,2
1619,93,67,78,100,8
1620,72,74,93,65,6
1621,86,94,88,82,5
1622,60,72,68,86,10
1623,94,89,63,79,11
1624,65,85,65,60,12
1625,85,68,60,97,8
1626,89,71,79,68,3
1627,81,91,88,71,5
1628,79,67,79,61,3
1629,98,84,89,66,3
1630,92,94,86,96,10
1631,92,85,91,74,3
1632,76,69,76,92,8
1633,70,78,74,73,5
1634,83,68,66,84,8
1635,65,76,79,85,2
1636,96,80,74,90,7
1637,81,70,80,77,3
1638,76,63,97,69,4
1639,74,71,74,76,8
1640,64,81,93,85,1
1641,88,93,77,95,10
1642,88,77,87,76,3
1643,86,92,82,68,12
1644,78,62,71,97,8
1645,86,71,64,84,7
1646,90,81,80,86,7
1647,62,64,98,90,1
1648,72,78,75,91,10
1649,88,76,90,100,2
1650,80,72,62,70,11
1651,72,89,90,68,6
1652,90,95,64,74,12
1653,98,65,74,77,7
1654,60,81,84,99,2
1655,61,77,92,94,2
1656,91,76,82,83,7
1657,68,100,78,73,5
1658,85,94,91,94,9
1659,61,92,95,99,2
1660,94,64,94,95,8
1661,100,91,87,61,11
1662,79,85,89,68,6
1663,94,87,88,96,8
1664,86,100,87,94,9
1665,64,78,95,73,6
1666,83,83,82,96,8
1667,71,61,92,78,1
1668,62,78,81,74,6
1669,98,93,70,74,11
1670,85,65,74,97,8
1671,93,70,77,99,8
1672,92,95,90,92,12
1673,75,69,75,65,3
1674,70,76,91,61,6
1675,82,99,93,93,5
1676,63,78,88,92,2
1677,78,82,68,88,10
1678,83,82,94,78,4
1679,95,92,75,66,11
1680,91,95,63,65,12
1681,67,85,82,83,9
1682,81,67,90,100,2
1683,69,98,60,79,9
1684,89,99,76,78,12
1685,68,77,68,61,12
1686,66,60,63,62,3
1687,64,89,94,74,6
1688,70,96,79,78,5
1689,76,99,70,61,12
1690,74,66,65,72,7
1691,75,90,70,81,9
1692,80,74,83,95,2
1693,93,61,86,69,3
1694,80,71,81,83,2
1695,63,69,89,75,1
1696,95,61,67,92,7
1697,71,96,94,71,5
1698,90,99,71,62,12
1699,87,79,81,93,8
1700,89,73,66,68,11
1701,81,63,69,93,8
1702,91,81,64,67,11
1703,62,77,92,88,1
1704,84,89,100,79,6
1705,95,79,63,64,11
1706,67,96,68,93,9
1707,72,68,78,67,4
1708,86,71,92,81,4
1709,80,69,68,96,8
1710,85,79,79,82,7
1711,75,94,85,84,5
1712,100,65,98,96,3
1713,99,84,93,86,3
1714,61,69,69,60,5
1715,82,71,85,93,2
1716,91,61,79,66,3
1717,71,99,87,67,5
1718,93,85,90,70,3
1719,99,92,64,96,7
1720,61,74,95,92,1
1721,96,63,87,71,3
1722,94,74,81,65,3
1723,76,92,85,88,9
1724,87,71,72,89,8
1725,74,97,68,61,12
1726,100,93,63,87,11
1727,92,91,85,96,8
1728,83,80,60,66,11
1729,78,81,98,81,6
1730,68,64,71,87,2
1731,71,86,90,90,1
1732,67,88,84,83,5
1733,90,90,67,76,11
1734,90,67,89,88,3
1735,84,68,71,89,8
1736,91,83,78,95,8
1737,74,88,89,69,6
1738,79,85,76,96,10
1739,79,94,95,91,6
1740,79,90,77,80,9
1741,86,98,77,83,12
1742,89,91,92,86,6
1743,94,90,68,92,7
1744,93,88,68,75,11
1745,67,81,93,85,1
1746,95,67,88,89,7
1747,78,72,90,71,4
1748,87,84,91,63,4
1749,64,78,63,85,10
1750,81,94,75,62,12
1751,83,75,75,62,11
1752,81,89,87,79,5
1753,83,72,88,96,2
1754,61,68,92,64,6
1755,71,62,95,90,1
1756,63,98,74,83,9
1757,62,95,66,81,9
1758,60,78,99,99,1
1759,70,77,67,79,10
1760,98,92,76,79,11
1761,98,72,99,63,4
1762,94,63,66,88,7
1763,87,82,85,60,3
1764,61,95,96,83,6
1765,72,95,62,91,9
1766,82,92,91,89,5
1767,95,64,70,82,7
1768,83,60,62,84,8
1769,79,92,84,82,5
1770,97,75,82,70,3
1771,79,75,89,82,1
1772,94,70,99,95,1
1773,74,94,75,94,9
1774,77,74,81,72,4
1775,78,70,76,88,8
1776,86,71,72,64,3
1777,100,65,79,74,3
1778,80,85,63,91,10
1779,82,79,82,80,3
1780,70,85,77,74,5
1781,84,73,67,71,11
1782,94,85,75,64,11
1783,81,78,88,71,4
1784,67,82,65,98,10
1785,88,92,90,89,5
1786,77,63,99,82,1
1787,62,94,92,75,5
1788,91,92,67,91,12
1789,94,66,74,61,3
1790,71,83,64,66,12
1791,98,61,79,60,3
1792,81,69,74,85,8
1793,88,60,80,74,3
1794,78,97,70,60,12
1795,84,80,62,91,8
1796,67,77,84,89,2
1797,98,100,82,82,12
1798,83,82,83,93,8
1799,79,64,77,76,3
1800,99,93,79,90,11
1801,63,91,74,98,10
1802,66,98,71,94,9
1803,67,91,69,97,10
1804,88,80,97,84,4
1805,89,97,75,83,12
1806,84,89,88,76,5
1807,75,71,94,98,2
1808,72,66,91,93,2
1809,86,79,62,97,8
1810,78,71,66,69,11
1811,85,92,83,74,12
1812,75,60,84,60,4
1813,60,91,88,95,10
1814,80,93,90,84,5
1815,85,64,99,71,4
1816,93,68,86,91,7
1817,98,75,67,76,7
1818,93,81,89,81,3
1819,80,88,90,72,6
1820,96,61,83,82,3
1821,62,73,69,93,10
1822,94,92,73,74,11
1823,79,64,61,90,8
1824,96,65,64,85,7
1825,77,66,65,79,8
1826,64,89,85,85,5
1827,79,71,63,92,8
1828,90,61,98,60,4
1829,68,98,77,96,9
1830,62,91,95,64,6
1831,70,78,84,73,6
1832,63,74,73,69,5
1833,62,97,77,81,9
1834,79,71,89,76,4
1835,97,92,73,91,11
1836,94,82,73,69,11
1837,89,91,97,85,6
1838,77,74,60,67,11
1839,72,98,90,70,5
1840,68,91,88,99,10
1841,92,68,73,66,3
1842,69,65,65,93,8
1843,90,85,63,63,11
1844,76,75,85,96,2
1845,74,70,79,94,2
1846,64,85,60,94,10
1847,76,67,81,94,2
1848,100,77,89,61,3
1849,82,92,99,90,6
1850,60,97,73,99,10
1851,78,76,62,89,8
1852,75,87,71,98,10
1853,75,79,72,93,10
1854,98,86,77,72,11
1855,90,70,86,83,3
1856,89,92,91,100,10
1857,86,95,99,76,6
1858,86,83,91,95,2
1859,97,62,87,71,3
1860,90,94,63,93,9
1861,74,63,62,90,8
1862,83,66,76,71,3
1863,96,79,72,93,7
1864,85,99,68,95,9
1865,71,94,66,97,10
1866,87,83,88,76,4
1867,65,75,67,83,10
1868,88,96,69,76,12
1869,83,64,72,76,7
1870,61,92,98,100,2
1871,94,88,95,61,4
1872,98,85,71,68,11
1873,82,97,90,81,5
1874,63,74,90,65,6
1875,87,72,63,87,7
1876,76,70,68,61,11
1877,100,100,62,77,11
1878,73,93,98,78,6
1879,91,65,75,100,8
1880,85,82,95,71,4
1881,68,68,61,87,8
1882,85,68,85,79,3
1883,100,70,86,70,3
1884,77,97,73,78,9
1885,97,80,76,93,7
1886,72,79,82,72,6
1887,60,82,99,98,1
1888,80,78,67,88,8
1889,67,75,65,62,12
1890,90,64,80,87,7
1891,72,80,92,96,2
1892,65,98,67,65,5
1893,70,76,90,98,2
1894,77,95,72,73,12
1895,85,87,91,93,2
1896,98,89,63,82,11
1897,78,68,84,88,2
1898,74,75,81,82,2
1899,64,89,81,60,5
1900,95,97,89,79,12
1901,93,76,66,95,8
1902,79,97,65,83,9
1903,69,84,91,74,6
1904,92,97,77,84,12
1905,74,93,89,69,5
1906,73,91,72,86,9
1907,71,61,70,97,8
1908,99,65,80,96,7
1909,72,68,90,83,1
1910,100,93,99,72,3
1911,63,73,64,71,9
1912,92,78,69,76,11
1913,87,81,92,67,4
1914,73,67,76,83,2
1915,65,79,73,65,5
1916,74,65,64,84,8
1917,61,90,77,90,9
1918,93,82,99,88,4
1919,75,81,68,60,12
1920,69,67,74,83,2
1921,100,65,73,63,3
1922,75,91,85,89,9
1923,94,95,86,73,12
1924,97,91,77,86,11
1925,65,75,93,62,6
1926,69,72,85,85,1
1927,89,77,83,88,7
1928,79,96,85,62,5
1929,61,76,84,86,2
1930,77,94,92,87,5
1931,96,79,78,77,11
1932,77,94,85,73,5
1933,61,97,91,90,5
1934,95,85,77,70,11
1935,87,94,88,79,5
1936,79,72,74,64,3
1937,61,71,87,69,6
1938,75,64,86,77,1
1939,85,72,82,61,3
1940,61,79,70,93,10
1941,63,98,83,62,5
1942,84,60,85,69,4
1943,79,96,85,93,9
1944,70,69,68,92,8
1945,78,99,91,68,5
1946,73,90,89,91,10
1947,94,69,86,86,3
1948,62,96,78,79,9
1949,71,63,92,67,4
1950,89,72,100,67,4
1951,73,92,93,74,6
1952,92,73,77,82,7
1953,83,74,60,78,7
1954,73,85,65,78,9
1955,65,74,91,91,1
1956,86,100,91,97,9
1957,64,72,64,66,9
1958,78,60,71,63,3
1959,60,85,100,77,6
1960,62,100,65,64,5
1961,61,85,82,98,10
1962,68,68,82,60,4
1963,88,75,73,91,8
1964,93,80,100,84,4
1965,95,86,74,78,11
1966,69,87,91,88,1
1967,65,68,80,64,6
1968,80,70,98,78,4
1969,64,78,68,98,10
1970,71,92,86,70,5
1971,87,65,74,87,7
1972,60,74,61,74,9
1973,84,83,98,70,4
1974,74,67,61,81,8
1975,75,88,88,77,5
1976,66,82,84,97,2
1977,100,66,88,76,3
1978,62,84,64,86,10
1979,71,91,83,92,10
1980,68,94,72,91,9
1981,92,90,90,92,7
1982,97,85,89,99,8
1983,98,65,93,86,3
1984,99,68,63,92,7
1985,100,68,90,93,7
1986,76,67,96,97,2
1987,66,85,71,81,9
1988,66,81,68,76,9
1989,100,61,82,95,7
1990,87,76,92,81,4
1991,66,71,60,80,10
1992,97,84,70,81,11
1993,74,99,82,97,9
1994,62,72,91,76,1
1995,85,84,98,66,4
1996,92,96,73,73,12
1997,86,66,64,83,7
1998,84,80,84,98,8
1999,61,100,73,80,9
2000,95,63,99,64,4
2001,77,91,91,67,5
2002,66,74,94,88,1
2003,70,84,69,74,9
2004,81,87,86,93,10
2005,75,86,71,97,10
2006,100,81,89,69,3
2007,88,76,62,74,11
2008,84,60,85,76,4
2009,82,91,66,63,12
2010,89,63,72,81,7
2011,67,74,84,82,1
2012,95,71,97,99,2
2013,65,92,72,97,10
2014,64,97,76,66,5
2015,74,78,78,100,10
2016,76,85,85,88,10
2017,93,63,99,83,4
2018,72,86,68,92,10
2019,86,99,98,63,5
2020,87,90,86,61,12
2021,86,79,74,70,11
2022,98,65,88,71,3
2023,90,68,62,92,8
2024,65,92,67,64,5
2025,84,97,63,66,12
2026,87,82,79,80,11
2027,84,72,67,72,11
2028,72,61,98,84,1
2029,90,74,98,67,4
2030,66,89,82,82,5
2031,94,81,91,73,3
2032,92,67,95,62,4
2033,86,97,77,77,12
2034,90,86,91,78,4
2035,68,80,63,90,10
2036,84,86,74,93,10
2037,81,87,83,71,5
2038,77,100,94,60,5
2039,70,78,71,91,10
2040,81,73,60,76,7
2041,63,88,85,84,5
2042,78,91,93,79,6
2043,89,69,86,72,3
2044,81,73,72,92,8
2045,91,65,82,89,7
2046,73,93,89,91,9
2047,85,86,80,99,10
2048,81,96,68,71,12
2049,63,94,77,74,5
2050,80,64,70,84,8
2051,95,98,67,74,12
2052,65,99,90,97,9
2053,76,91,82,67,5
2054,63,92,76,85,9
2055,63,66,93,94,2
2056,97,76,68,77,7
2057,93,98,73,99,10
2058,94,98,100,75,6
2059,83,98,65,100,10
2060,96,67,91,78,3
2061,68,74,96,90,1
2062,77,68,72,91,8
2063,89,83,93,67,4
2064,100,89,71,66,11
2065,72,89,77,71,5
2066,70,67,93,91,1
2067,60,87,74,92,10
2068,83,79,78,95,8
2069,94,74,89,99,8
2070,61,99,89,83,5
2071,87,94,88,98,10
2072,75,100,78,71,5
2073,78,87,90,75,6
2074,81,62,65,60,3
2075,75,76,73,66,12
2076,63,71,73,81,2
2077,93,63,85,70,3
2078,90,86,99,80,4
2079,73,99,96,97,9
2080,73,69,78,82,2
2081,79,75,83,76,4
2082,97,100,91,65,12
2083,83,85,88,94,2
2084,90,96,90,91,9
2085,89,73,81,85,7
2086,72,97,68,66,12
2087,90,79,86,79,3
2088,80,70,63,63,11
2089,78,63,100,94,1
2090,79,61,92,83,1
2091,62,75,75,70,5
2092,92,97,84,89,12
2093,97,61,98,92,4
2094,80,81,68,99,10
2095,95,61,95,87,3
2096,83,81,86,65,4
2097,61,80,76,90,10
2098,67,69,87,100,2
2099,82,81,84,100,2
2100,86,91,72,75,12
2101,99,63,84,96,7
2102,68,87,98,77,6
2103,81,100,62,76,12
2104,71,84,68,82,9
2105,64,90,62,86,9
2106,82,96,80,65,12
2107,86,67,90,89,1
2108,94,90,96,69,4
2109,81,62,85,69,4
2110,94,91,86,66,11
2111,62,74,92,94,2
2112,74,78,78,97,10
2113,89,62,98,61,4
2114,98,82,69,81,11
2115,92,82,71,77,11
2116,76,77,61,91,10
2117,80,98,60,83,9
2118,95,60,71,94,7
2119,66,86,78,65,5
2120,73,78,93,91,1
2121,81,75,91,83,1
2122,85,78,64,70,11
2123,85,67,98,65,4
2124,75,91,83,93,10
2125,97,98,94,98,9
2126,97,78,94,66,3
2127,74,91,77,77,5
2128,77,79,100,94,1
2129,98,98,97,66,11
2130,77,72,86,82,1
2131,92,87,71,88,7
2132,74,64,84,99,2
2133,65,91,100,90,6
2134,86,100,87,78,5
2135,90,70,84,94,8
2136,89,62,68,84,7
2137,96,100,92,68,12
2138,70,61,70,68,3
2139,82,91,60,97,10
2140,98,85,84,84,11
2141,91,69,73,84,7
2142,76,95,65,66,12
2143,62,92,76,89,9
2144,74,99,71,73,12
2145,62,64,72,79,2
2146,70,75,79,97,2
2147,60,85,67,73,9
2148,80,75,69,94,8
2149,61,93,88,83,5
2150,68,79,66,82,10
2151,96,72,78,84,7
2152,61,81,74,69,5
2153,85,86,60,79,12
2154,97,70,73,96,7
2155,64,73,82,82,1
2156,100,84,95,80,3
2157,71,86,64,77,9
2158,87,97,78,69,12
2159,67,83,73,97,10
2160,91,100,66,82,12
2161,81,67,94,66,4
2162,62,90,84,89,9
2163,70,78,87,88,2
2164,63,98,93,98,9
2165,72,81,77,68,5
2166,86,62,60,85,7
2167,82,89,76,60,12
2168,92,64,69,91,7
2169,68,64,93,89,1
2170,71,66,75,77,2
2171,99,96,82,89,11
2172,71,95,89,96,10
2173,74,79,69,74,12
2174,61,88,63,87,9
2175,89,96,75,60,12
2176,96,85,66,84,11
2177,96,95,62,96,7
2178,99,99,79,62,11
2179,68,70,83,73,1
2180,85,77,76,85,7
2181,63,63,90,66,1
2182,70,69,86,70,4
2183,60,62,100,71,1
2184,60,67,75,93,2
2185,97,71,71,66,11
2186,67,60,93,63,4
2187,98,91,94,94,3
2188,64,86,98,99,2
2189,66,94,64,84,9
2190,76,74,61,88,8
2191,82,93,99,80,6
2192,66,77,97,63,6
2193,92,98,90,98,9
2194,64,81,95,75,6
2195,69,62,71,78,2
2196,96,77,71,93,7
2197,93,69,86,90,7
2198,73,96,69,97,10
2199,97,66,72,93,7
2200,89,94,94,79,5
2201,95,83,92,64,3
2202,99,80,96,86,3
2203,81,65,67,83,8
2204,64,79,64,82,10
2205,90,63,97,95,1
2206,89,92,69,69,12
2207,69,95,81,90,9
2208,73,80,98,74,6
2209,90,97,97,63,5
2210,68,75,93,77,1
2211,79,76,68,60,11
2212,64,87,77,92,10
2213,84,71,99,63,4
2214,66,91,66,90,9
2215,97,60,60,71,7
2216,100,76,87,80,3
2217,82,70,60,71,7
2218,75,86,69,83,9
2219,96,96,72,66,11
2220,94,93,80,96,8
2221,86,73,74,91,8
2222,70,80,79,86,10
2223,97,83,63,80,11
2224,95,68,91,99,8
2225,62,64,60,87,10
